"mb_sex","age","majorNm","license","hope_license"
"1","39",호텔조리제과제빵과,,
"1","56",스마트IT학과,,
"1","28",도시사회학과,,
"2","18",게임컨텐츠과,,
"2","60",경찰경호과,,
"2","61",멀티미디어공학과,,
"1","63",관광중국어과,,
"2","46",생명공학과,,
"2","48",회계세무학과,,
"1","52",패션의류학과,,
"1","13",환경원예학과,,
"1","39",경호스포츠과,,
"1","43",정보사회학과,,
"1","62",도시공학과,,
"1","15",몽골어과,,
"1","34",해양생명응용과학부,,
"1","39",금속재료과,,
"2","28",치위생학과,,
"2","9",식품공학과,,
"1","59",멀티미디어디자인학과,,
"1","44",독어교육과,,
"1","10",만화콘텐츠과,,
"2","60",경찰경호과,,
"2","54",해양생명응용과학부,,
"1","40",식품생명과학과,,
"2","18",식품공학과,,
"2","60",관광영어과,,
"2","42",스페인·중남미학과,,
"1","64",독어독문학과,,
"2","28",공연영상학과,,
"2","44",환경학과,,
"2","58",치기공과,,
"1","40",포르투갈어과,,
"2","37",스타일리스트과,,
"2","27",항공우주공학과,,
"2","55",회계학과,,
"1","10",해양생명응용과학부,,
"1","26",생명화학공학과,,
"1","63",관광중국어과,,
"2","49",만화콘텐츠과,,
"2","53",미디어콘텐츠학과,,
"2","34",생물학과,,
"1","33",항공우주공학과,,
"1","63",스칸디나비아어과,,
"2","17",사회체육학과,,
"1","55",산림자원학과,,
"1","42",평생교육학과,,
"1","58",경영회계학과,,
"1","33",도시계획학과,,
"1","52",해양생명과학과,,
"1","60",미래자동차공학과,,
"1","34",호텔외식조리과,,
"1","43",친환경건축학과,,
"1","56",마술학과,,
"1","21",스칸디나비아어과,,
"2","11",식품조리학과,,
"1","64",환경시스템공학과,,
"1","15",경찰경호과,,
"1","39",국방과학기술학과,,
"1","47",전기전자과,,
"2","44",미디어영상학과,,
"1","48",미래에너지공학과,,
"1","37",공연예술과,,
"2","21",미래자동차공학과,,
"1","38",경제금융학과,,
"2","40",건설시스템공학과,,
"2","28",환경생명공학과,,
"2","20",교육학과,,
"1","37",경찰행정학과,,
"2","26",미래자동차공학과,,
"2","26",무용예술학과,,
"2","23",만화콘텐츠과,,
"1","63",컴퓨터교육과,,
"2","53",회계학과,,
"2","48",경제금융학과,,
"2","25",게임제작과,,
"1","52",데이터과학과,,
"1","29",스칸디나비아어과,,
"2","14",몽골어과,,
"1","9",미용예술과,,
"2","37",미래자동차공학과,,
"1","14",대기환경과학과,,
"1","60",기계시스템공학과,,
"1","55",미디어영상학과,,
"1","56",기계교육과,,
"2","62",격기지도학과,,
"1","24",데이터정보학과,,
"2","53",게임공학과,,
"2","57",도시건설과,,
"1","41",스마트IT학과,,
"1","38",산림과학과,,
"2","12",스페인어과,,
"2","62",게임컨텐츠과,,
"2","53",생화학과,,
"1","11",루마니아어과,,
"2","20",나노재료공학전공,,
"2","36",경영정보학과,,
"2","59",스마트폰컨텐츠과,,
"2","20",푸드코디네이션과,,
"1","58",미술학과,,
"1","50",항공시스템공학과,,
"2","28",항공서비스경영학과,,
"1","33",문화재과,,
"1","16",항공서비스학과,,
"2","48",스타일리스트과,,
"2","26",미술교육과,,
"2","50",골프학과,,
"2","48",멀티미디어게임과,,
"2","23",융합소프트웨어학과,,
"2","61",공예디자인학과,,
"1","26",융합보안학과,,
"2","55",멀티미디어공학과,,
"1","55",식품조리학과,,
"1","60",문화재보존학과,,
"1","32",간호학과,,
"1","23",경제학과,,
"1","25",환경보건학과,,
"2","20",전기전자제어과,,
"1","40",스마트IT학과,,
"2","31",미용예술과,,
"1","25",카이로스포츠과,,
"1","10",골프산업학과,,
"1","21",미술학과,,
"1","22",생명공학과,,
"2","33",미술사학과,,
"2","12",해양학과,,
"1","47",화학신소재학과,,
"2","60",메카트로닉스공학과,,
"1","9",교육공학과,,
"2","11",화학신소재학과,,
"1","13",미디어커뮤니케이션학과,,
"1","11",프랑스학과,,
"1","24",독어독문학과,,
"1","61",폴란드어과,,
"1","31",생명과학과,,
"1","31",경찰경호행정과,,
"1","22",디지털콘텐츠과,,
"2","39",메카트로닉스공학과,,
"2","61",관현악과,,
"1","51",리조트개발학과,,
"1","25",광공학과,,
"2","31",도예학과,,
"2","49",식품영양학과,,
"1","55",스키스노우보드전공(스포츠레저학과),,
"1","33",푸드코디네이션과,,
"2","58",러시아어과,,
"2","9",교정보호학과,,
"2","52",전자물리학과,,
"1","47",환경교육과,,
"2","36",스마트소프트웨어과,,
"1","21",회화과,,
"1","43",호텔외식조리과,,
"1","28",교정보호학과,,
"2","9",카지노과,,
"1","48",문화재과,,
"2","25",환경학과,,
"2","28",미술치료과,,
"2","14",드론교통공학과,,
"2","16",경찰경호과,,
"2","34",호텔외식조리과,,
"1","32",호텔외식조리과,,
"2","63",전자공학과,,
"1","12",정보사회학과,,
"2","52",말레이·인도네시어과,,
"2","21",말레이·인도네시어과,,
"2","38",화학공학과,,
"2","59",실내건축디자인학과,,
"1","9",귀금속보석공예학과,,
"1","20",바이오메디컬공학전공,,
"1","45",경제금융학과,,
"1","30",디지털콘텐츠과,,
"2","54",전자전기공학과,,
"2","60",만화애니메이션학과,,
"1","29",공예디자인학과,,
"2","40",데이터과학과,,
"2","25",레이저광정보공학전공,,
"2","18",전자공학과,,
"2","31",스마트소프트웨어과,,
"1","49",경찰경호과,,
"1","25",기계교육과,,
"2","62",건축공학과,,
"2","60",고고미술사학과,,
"1","28",농업경제학과,,
"2","25",폴란드어과,,
"1","26",컴퓨터시스템공학과,,
"1","57",항공시스템공학과,,
"1","59",실내건축디자인학과,,
"2","21",패션디자인학과,,
"2","9",카이로스포츠과,,
"1","32",기계시스템공학과,,
"1","64",건축과,,
"1","9",전기전자과,,
"1","32",환경원예학과,,
"2","35",전기전자과,,
"1","44",공예디자인학과,,
"2","16",광고홍보학전공,,
"1","41",건축시스템공학과,,
"1","40",생화학과,,
"2","29",독어교육과,,
"1","59",레이저광정보공학전공,,
"1","48",불어불문학과,,
"1","8",교통공학과,,
"2","27",교통공학과,,
"2","12",식품조리학과,,
"2","56",카이로스포츠과,,
"1","36",스페인어과,,
"2","28",화학과,,
"2","57",정보사회학과,,
"2","19",몽골어과,,
"2","16",관광중국어과,,
"2","56",스칸디나비아어과,,
"1","61",스마트IT학과,,
"2","57",무용학과,,
"2","64",화학공학과,,
"2","49",식품공학과,,
"1","46",패션의류학과,,
"1","19",경찰학과,,
"2","15",농학과,,
"2","29",환경공학과,,
"2","61",환경보건학과,,
"1","33",도시공학과,,
"2","48",만화콘텐츠과,,
"1","54",치위생과,,
"1","12",나노재료공학전공,,
"1","51",미래자동차공학과,,
"2","54",문화콘텐츠학과,,
"2","30",전자공학과,,
"2","19",경영회계학과,,
"2","64",치의학과,,
"2","31",생명공학과,,
"2","60",환경생명공학과,,
"1","54",해양공학과,,
"2","36",풍수명리과,,
"1","60",교정보호학과,,
"1","14",공연영상학과,,
"1","8",독어교육과,,
"2","51",실내디자인학과,,
"2","49",카지노과,,
"2","40",광고홍보학과,,
"1","46",패션의류학과,,
"2","55",해양공학과,,
"1","41",나노신소재공학과,,
"2","59",경찰법학전공,,
"1","11",금속재료과,,
"1","45",미용예술과,,
"1","27",도시사회학과,,
"2","25",미용과,,
"1","16",경호학과,,
"2","22",경찰경호과,,
"2","45",기계융합공학과,,
"1","57",농업교육과,,
"1","37",치의예과,,
"1","52",경찰경호행정과,,
"1","35",호텔외식조리과,,
"2","22",프랑스언어문화학과,,
"1","10",목재응용과학과,,
"2","57",경제금융학과,,
"2","9",생명공학과,,
"1","64",관광경영학과,,
"2","39",치의학과,,
"1","57",경영학과,,
"1","25",건설환경공학과,,
"1","37",건축학과,,
"1","29",멀티미디어디자인학과,,
"1","16",스마트소프트웨어과,,
"1","40",해양공학과,,
"1","28",산업보건학과,,
"1","9",경영학과,,
"1","16",프랑스언어문화학과,,
"1","21",경찰학과,,
"1","12",화훼원예과,,
"2","50",나노물리학과,,
"1","14",나노재료공학전공,,
"1","16",관광학부,,
"2","44",국악과,,
"1","12",경찰행정학과,,
"1","20",기계공학과,,
"1","57",로봇공학과,,
"1","46",치기공학과,,
"1","54",기계공학과,,
"1","56",골프산업학과,,
"1","21",신소재응용과,,
"2","13",호텔조리김치발효과,,
"1","27",스마트IT학과,,
"2","58",화장품·향수전공,,
"1","41",경영과,,
"1","8",러시아언어문화전공,,
"1","53",공연예술과,,
"2","32",카지노과,,
"2","55",경찰경호행정과,,
"2","37",게임공학과,,
"1","48",만화애니메이션학과,,
"1","60",환경학과,,
"2","32",푸드코디네이션과,,
"1","53",패션의류학과,,
"2","17",환경에너지공학과,,
"1","26",만화콘텐츠과,,
"1","25",디지털전자과,,
"1","22",환경에너지공학과,,
"2","19",도시건설과,,
"1","62",화공생명학과,,
"1","18",신소재응용과,,
"1","47",해양공학과,,
"1","11",디지털콘텐츠과,,
"2","34",미디어커뮤니케이션학과,,
"1","60",불어불문학과,,
"1","61",패션의류학과,,
"2","53",경찰경호과,,
"2","63",독일학과,,
"2","35",치위생학과,,
"2","50",건설시스템공학과,,
"2","64",공연예술과,,
"1","13",전기전자제어과,,
"1","34",식품생명공학과,,
"1","38",카지노과,,
"1","25",생화학과,,
"2","36",교육학과,,
"1","48",항공서비스경영학과,,
"2","28",화학공학과,,
"2","61",건축시스템공학과,,
"1","12",해양학과,,
"2","12",환경에너지공학과,,
"2","34",식품조리학과,,
"1","46",경찰경호행정과,,
"2","60",전기전자제어과,,
"2","45",광공학과,,
"1","37",건축학과,,
"2","35",정밀화학과,,
"1","34",광고홍보학과,,
"1","11",게임제작과,,
"2","57",실내건축디자인학과,,
"2","39",산림자원학과,,
"1","63",컴퓨터시스템공학과,,
"1","24",화장품과학과,,
"2","40",건설환경공학과,,
"1","22",사진학과,,
"1","20",실내디자인학과,,
"2","38",관광중국어과,,
"2","49",도예학과,,
"1","11",불어불문학과,,
"2","14",호텔외식조리과,,
"1","61",마술학과,,
"1","40",도시사회학과,,
"1","16",간호과,,
"2","26",미술사학과,,
"2","45",공연영상학과,,
"2","11",도시정보공학전공,,
"1","19",가정관리학과,,
"2","9",로봇공학과,,
"1","52",산업보건학과,,
"1","61",컴퓨터시스템공학과,,
"1","42",녹지조경학과,,
"1","32",공연예술과,,
"2","22",미술치료과,,
"1","63",경찰경호행정과,,
"2","12",화학과,,
"1","21",교정보호학과,,
"2","8",푸드스타일링전공,,
"2","8",농업교육과,,
"2","46",화학교육과,,
"1","44",사진영상학과,,
"2","38",만화애니메이션학과,,
"1","64",식품조리학과,,
"2","54",미술교육과,,
"2","52",독어독문학과,,
"1","39",실내건축학과,,
"2","48",농학과,,
"1","61",식품생명과학과,,
"1","58",드론교통공학과,,
"1","57",도시건설과,,
"1","45",다문화복지과,,
"1","20",카이로스포츠과,,
"2","46",해양생명응용과학부,,
"2","54",녹지조경학과,,
"1","28",회계세무학과,,
"2","40",건축학과,,
"1","57",도시사회학과,,
"2","24",그리스·불가리아학과,,
"1","43",방사선과,,
"2","51",러시아어문학과,,
"1","64",항공정비학과,,
"2","57",환경시스템공학과,,
"2","45",패션산업학과,,
"1","33",건축시스템공학과,,
"2","12",정보사회학과,,
"1","17",마술학과,,
"2","64",미디어문예창작학과,,
"2","8",멀티미디어게임과,,
"1","38",관광크루즈승무원과,,
"1","48",경영과,,
"1","45",식품공학과,,
"1","49",목재응용과학과,,
"2","56",공예과,,
"1","19",로봇공학과,,
"1","22",경제금융학과,,
"2","25",디지털전기공학과,,
"2","11",식품공학과,,
"1","33",사진학과,,
"1","52",환경교육과,,
"2","51",스페인어과,,
"1","53",리조트개발학과,,
"2","14",경영학과,,
"2","32",관광일어과,,
"1","16",VMD과,,
"1","63",환경교육과,,
"2","13",대기과학과,,
"1","64",경영학과,,
"1","8",문화재과,,
"2","23",경제금융학과,,
"2","14",디지털전자과,,
"1","13",패션마케팅과,,
"1","42",리조트개발학과,,
"1","17",농학과,,
"2","23",화학교육과,,
"1","59",호텔조리김치발효과,,
"1","64",실내건축디자인학과,,
"2","46",사진영상학과,,
"1","48",로봇공학과,,
"1","43",경영학과,,
"1","16",항공관광과,,
"2","29",교통공학과,,
"2","45",관광중국어과,,
"1","38",무용학과,,
"1","25",로봇공학과,,
"1","64",교통시스템공학과,,
"2","57",회계세무학과,,
"1","11",미디어디자인과,,
"2","61",실내디자인학과,,
"2","51",가정관리학과,,
"2","41",전자물리학과,,
"2","24",건설공학교육과,,
"1","37",바이오메디컬공학전공,,
"2","19",나노재료공학전공,,
"2","28",문화재과,,
"2","48",화훼원예과,,
"1","14",푸드코디네이션과,,
"2","17",치의학과,,
"2","25",식품영양학과,,
"1","25",미술교육과,,
"1","41",관광경영학과,,
"2","31",해양생명응용과학부,,
"2","61",생명과학과,,
"2","8",환경과학과,,
"2","21",게임컨텐츠과,,
"2","8",공연예술과,,
"2","13",관광영어과,,
"2","52",호텔관광과,,
"2","44",생화학과,,
"1","48",치기공학과,,
"2","27",식품생명공학과,,
"2","45",방사선학과,,
"1","9",도시행정학과,,
"2","39",격기지도학과,,
"1","31",프랑스어과,,
"2","55",전자공학교육과,,
"1","40",미디어문예창작학과,,
"2","38",실내디자인학과,,
"1","27",아랍어과,,
"2","9",무용학과,,
"1","52",고고미술사학과,,
"1","43",경영정보학과,,
"1","14",도시사회학과,,
"1","63",미용예술과,,
"2","54",나노재료공학전공,,
"1","14",화장품·향수전공,,
"2","15",스마트소프트웨어과,,
"2","64",건축기계설비과,,
"1","13",기계교육과,,
"1","17",환경에너지공학과,,
"1","32",환경조경과,,
"1","16",교통시스템공학과,,
"2","20",화학신소재학과,,
"1","36",가정관리학과,,
"1","60",기악과,,
"1","61",생명화학공학과,,
"1","56",디지털콘텐츠과,,
"1","39",ICT융합학과,,
"1","8",미술사학과,,
"1","43",로봇공학과,,
"1","26",정밀화학과,,
"1","37",농학과,,
"1","16",화장품과학과,,
"1","59",호텔경영학과,,
"1","11",귀금속보석공예학과,,
"1","31",정보통계학과,,
"1","10",정보사회학과,,
"1","48",해양생명과학과,,
"1","10",도시사회학과,,
"2","17",도시건설과,,
"2","25",해양공학과,,
"1","15",컴퓨터공학과,,
"2","48",전산통계학과,,
"2","39",컴퓨터교육과,,
"1","15",회계세무학과,,
"2","42",기계공학과,,
"1","21",도시건설과,,
"2","19",미래에너지공학과,,
"2","54",생명공학과,,
"1","41",항공기계과,,
"2","50",경제학과,,
"2","26",식품영양학과,,식품산업기사
"1","41",컴퓨터공학과,,컴퓨터시스템응용기술사
"2","21",기계과,,승강기기사
"1","25",관광학부,,미용사(피부)
"2","41",환경시스템공학과,,대기관리기술사
"1","36",생물학과,,정밀화학기사
"2","43",국악과,,제품디자인기술사
"2","34",호텔외식조리과,,양식조리기능사
"2","36",컴퓨터응용기계과,,사무자동화산업기사
"1","35",화학신소재학과,,바이오화학제품제조기사
"1","50",도시계획부동산학과,,지질및지반기술사
"1","33",녹지조경학과,,조경기능사
"2","56",스타일리스트과,,제품디자인기사
"1","40",해양생명과학과,,해양자원개발기사
"1","31",해양생명응용과학부,,건축목공기능사
"2","42",목재응용과학과,,시설원예기술사
"1","49",호텔경영학과,,포장산업기사
"1","58",러시아학과,,관광통역안내사(이탈리아어)
"1","38",풍수명리과,,임상심리사1급
"2","32",관현악과,,미용사(메이크업)
"1","61",호텔외식조리과,,양식조리산업기사
"1","20",데이터사이언스학과,,정보처리산업기사
"2","52",실내건축디자인학과,,농어업토목기술사
"2","56",스마트소프트웨어과,,멀티미디어콘텐츠제작전문가
"2","8",전기전자과,,로봇소프트웨어개발기사
"1","24",환경교육과,,에너지관리기능장
"2","59",환경조경과,,소음진동기사
"1","54",사진영상학과,,제품디자인산업기사
"2","54",회계세무학과,,사회조사분석사2급
"2","39",무용예술학과,,컬러리스트기사
"1","48",프랑스어문학과,,관광통역안내사(불어)
"2","28",공예디자인학과,,시각디자인기사
"2","45",전기공학과,,전자기사
"2","64",도시건설과,,조경산업기사
"2","53",컴퓨터응용기계과,,사무자동화산업기사
"2","47",경영회계학과,,품질관리기술사
"1","48",전자물리학과,,로봇기구개발기사
"2","33",미디어콘텐츠학과,,컬러리스트산업기사
"1","24",환경원예학과,,기상감정기사
"2","31",실내디자인학과,,토목산업기사
"2","23",디지털전기공학과,,정보관리기술사
"2","37",아랍어과,,관광통역안내사(스페인어)
"1","29",환경교육과,,생물분류기사(식물)
"1","11",멀티미디어공학과,,정보처리기능사
"1","16",무용학과,,컬러리스트산업기사
"2","28",폴란드어과,,관광통역안내사(태국어)
"2","29",컴퓨터응용기계과,,정보처리기사
"2","53",전기자동차과,,전기철도산업기사
"2","63",농업경제학과,,포장기사
"2","47",패션마케팅과,,섬유기술사
"1","35",레이저광정보공학전공,,"2급 청소년지도사"
"2","61",항공정비학과,,설비보전기사
"2","27",스마트IT학과,,정보관리기술사
"1","59",가정교육과,,"3급 청소년지도사"
"1","44",기악과,,시각디자인기사
"2","29",호텔관광과,,품질경영산업기사
"2","52",신발패션산업과,,제품디자인기사
"1","60",화장품과학과,,화약류제조기사
"2","10",드론교통공학과,,정보처리기능사
"1","35",게임컨텐츠과,,사무자동화산업기사
"2","27",건설시스템공학과,,지질및지반기술사
"1","18",무용예술학과,,컬러리스트산업기사
"1","21",건축과,,양화장치운전기능사
"2","48",푸드스타일링전공,,제빵기능사
"1","50",스칸디나비아어과,,전자계산기조직응용기사
"1","46",문화재보존학과,,컬러리스트기사
"2","37",나노신소재공학과,,화학분석기능사
"2","52",목재응용과학과,,식물보호기사
"2","31",미술사학과,,제품응용모델링기능사
"1","33",기계과,,건설기계설비기사
"2","46",관광학부,,이용장
"2","16",경찰경호과,,초음파비파괴검사기능사
"1","57",식품생명공학과,,수산제조기사
"2","62",도예학과,,가구제작기능사
"1","15",정보보안학과,,정보처리기능사
"2","50",항공서비스학과,,객화차정비산업기사
"1","42",금속재료과,,열처리기능사
"2","42",화학과,,화공기사
"1","18",만화콘텐츠과,,컬러리스트기사
"1","32",전기전자제어과,,의공기사
"1","43",해양분자생명과학과,,건축시공기술사
"2","8",그리스·불가리아학과,,관광통역안내사(태국어)
"2","53",기계교육과,,건설기계설비기사
"1","35",신재생에너지과,,정보관리기술사
"2","15",멀티미디어게임과,,정보처리기능사
"2","44",드론교통공학과,,정보처리기능사
"2","52",미디어디자인과,,컬러리스트산업기사
"2","43",스키스노우보드전공(스포츠레저학과),,제품디자인산업기사
"1","27",평생교육학과,,관광통역안내사(영어)
